station_pair,time,delay,coherence,station1,station2
TX.PB10_TX.PB16,63.0,0.6063596857376364,0.8021153541103718,PB10,PB16
TX.PB10_TX.PB16,67.0,0.2622510295565276,0.7945501625738945,PB10,PB16
TX.PB10_TX.PB17,35.0,-0.01786489118145229,0.8288345073758497,PB10,PB17
TX.PB10_TX.PB17,39.0,-0.1165259635499853,0.7667294791744791,PB10,PB17
TX.PB10_TX.PB17,43.0,-0.4750191398439708,0.843714803080621,PB10,PB17
TX.PB10_TX.PB17,47.0,-0.27433185991166514,0.8274050887634381,PB10,PB17
TX.PB10_TX.PB17,51.0,-0.11519982095897428,0.8108033145273459,PB10,PB17
TX.PB10_TX.PB17,55.0,0.027725750903304786,0.8371203242032894,PB10,PB17
TX.PB10_TX.PB17,59.0,0.04034713048882185,0.8179887616943537,PB10,PB17
TX.PB10_TX.PB17,63.0,0.14659453084888155,0.8462949013182619,PB10,PB17
TX.PB10_TX.PB17,67.0,0.3157780322634269,0.7925002049845312,PB10,PB17
TX.PB10_TX.PB17,71.0,0.025499455239117386,0.7968325337779224,PB10,PB17
TX.PB10_TX.PB17,75.0,0.9064928713316611,0.8033271886148012,PB10,PB17
TX.PB10_TX.PB18,29.0,0.05861074578733508,0.8100591417842867,PB10,PB18
TX.PB10_TX.PB18,33.0,0.10476706328426123,0.821673840494711,PB10,PB18
TX.PB10_TX.PB18,37.0,1.3249245841365824,0.8132302554876442,PB10,PB18
TX.PB10_TX.PB18,41.0,-0.5677131893449534,0.791791630330841,PB10,PB18
TX.PB10_TX.PB18,45.0,-0.460562360755096,0.854342559348788,PB10,PB18
TX.PB10_TX.PB18,49.0,0.7723994498415439,0.7515455412674004,PB10,PB18
TX.PB10_TX.PB18,53.0,-0.3620382472559198,0.8127439502326298,PB10,PB18
TX.PB10_TX.PB18,57.0,0.03257099040744517,0.7874024831601475,PB10,PB18
TX.PB10_TX.PB18,61.0,0.4376302126853196,0.8368458349032735,PB10,PB18
TX.PB10_TX.PB18,65.0,-0.11411056047205743,0.811207941457159,PB10,PB18
TX.PB10_TX.PB18,69.0,-1.1542894526319467,0.786485512459066,PB10,PB18
TX.PB10_TX.PB19,33.0,0.15892706714290883,0.775323112251531,PB10,PB19
TX.PB10_TX.PB19,37.0,0.40481287869524774,0.789244612788767,PB10,PB19
TX.PB10_TX.PB19,41.0,-0.01758201730003914,0.7987000775960974,PB10,PB19
TX.PB10_TX.PB19,45.0,0.1599542381971173,0.7754447516714635,PB10,PB19
TX.PB10_TX.PB19,49.0,0.12547634950953837,0.8191425808997534,PB10,PB19
TX.PB10_TX.PB19,53.0,0.1593117575104089,0.8216643674289238,PB10,PB19
TX.PB10_TX.PB19,57.0,0.8992170253482281,0.8311447308954938,PB10,PB19
TX.PB10_TX.PB19,61.0,-0.6392130739448652,0.7677605092382893,PB10,PB19
